dpr_idobjetoa,dpr_idobjetob,dpr_latitudobja,dpr_longitudobja,dpr_altitudobja,dpr_velocidadobja,dpr_direccionobja,dpr_latitudobjb,dpr_longitudobjb,dpr_altitudobjb,dpr_velocidadobjb,dpr_direccionobjb,dpr_distanciaentreobj,dpr_tiporegistro,dpr_etiquetaregistro
3,17,-36.777871,-73.067054,0.0,7.3,260.1,-36.779782,-73.064231,0.0,124.6,323.6,,1,1
3,20,-36.776472,-73.065526,0.0,201.9,190.6,-36.775178,-73.064864,0.0,198.4,260.6,,1,1
3,20,-36.775462,-73.065667,0.0,127.5,84.3,-36.77915,-73.068146,0.0,240.2,176.3,,1,1
9,16,-36.777907,-73.066133,0.0,111.1,37.2,-36.776314,-73.065919,0.0,154.8,64.5,,1,1
9,20,-36.776287,-73.067257,0.0,163.2,22.6,-36.775477,-73.065649,0.0,158.3,168.1,,1,1
1,19,-36.778711,-73.065051,0.0,153.2,188.8,-36.777711,-73.065714,0.0,226.5,306.8,,1,1
8,18,-36.780135,-73.064246,0.0,58.8,149.8,-36.777864,-73.064651,0.0,158.5,243.4,,1,1
10,15,-36.77843,-73.066514,0.0,274.5,168.7,-36.775205,-73.064564,0.0,233.5,283.3,,1,1
5,13,-36.779197,-73.065641,0.0,250.8,206.6,-36.776998,-73.065379,0.0,50.4,333.3,,1,1
1,16,-36.775319,-73.063972,0.0,124.2,102.4,-36.779101,-73.067554,0.0,278.3,206.1,,1,1
2,17,-36.776795,-73.066738,0.0,174.9,301.3,-36.77809,-73.064977,0.0,122,80.5,,1,1
9,17,-36.775759,-73.066141,0.0,101,283.9,-36.777901,-73.064769,0.0,225.3,220.9,,1,1
1,20,-36.776703,-73.066118,0.0,219.2,226.8,-36.779172,-73.066445,0.0,156.9,277,,1,1
7,20,-36.778757,-73.068078,0.0,291.3,58,-36.775708,-73.06798,0.0,229.5,192.1,,1,1
10,12,-36.778264,-73.067614,0.0,162.9,310.4,-36.77676,-73.067039,0.0,148.4,127.1,,1,1
10,21,-36.779622,-73.068139,0.0,10.6,200.9,-36.779034,-73.064161,0.0,38.2,70.9,,1,1
5,15,-36.77939,-73.065178,0.0,158.8,168.2,-36.778016,-73.06575,0.0,37.9,98.2,,1,1
5,11,-36.775702,-73.065465,0.0,293,55.8,-36.776848,-73.064924,0.0,42.7,111.2,,1,1
6,15,-36.775779,-73.06534,0.0,281.6,187.4,-36.779795,-73.065754,0.0,162.7,211.2,,1,1
6,18,-36.776906,-73.066756,0.0,155.1,77,-36.775634,-73.064895,0.0,231,339.7,,1,1
3,15,-36.776672,-73.066624,0.0,233.3,260.4,-36.779229,-73.065646,0.0,53.8,139.1,,1,1
3,20,-36.778958,-73.064848,0.0,19.9,248,-36.776569,-73.064425,0.0,196.9,215.9,,1,1
8,19,-36.777068,-73.067779,0.0,229.5,279.1,-36.776044,-73.064912,0.0,23.9,299.2,,1,1
7,16,-36.778974,-73.065472,0.0,61,348.8,-36.777831,-73.065199,0.0,45.7,68.4,,1,1
2,17,-36.776492,-73.067291,0.0,201.8,19.3,-36.779801,-73.065345,0.0,26.5,128.2,,1,1
3,14,-36.779725,-73.065167,0.0,281.6,246.8,-36.776571,-73.065587,0.0,121.9,167.5,,1,1
7,18,-36.778838,-73.067786,0.0,2.7,170.3,-36.777666,-73.068427,0.0,215,304.8,,1,1
3,13,-36.778018,-73.067763,0.0,18.5,153.9,-36.776827,-73.0655,0.0,228.4,261.3,,1,1
8,12,-36.778315,-73.064342,0.0,276.3,294.7,-36.776229,-73.067149,0.0,130.9,212.6,,1,1
2,13,-36.778163,-73.068453,0.0,237.4,222.8,-36.776356,-73.066289,0.0,50,290.4,,1,1
9,21,-36.778809,-73.06814,0.0,20.8,233.6,-36.779442,-73.06518,0.0,86.8,220.5,,1,1
7,12,-36.779394,-73.067543,0.0,188,119.6,-36.778562,-73.067832,0.0,80,170.6,,1,1
4,13,-36.776806,-73.066289,0.0,173.5,343.1,-36.775484,-73.065788,0.0,281.7,10.3,,1,1
9,13,-36.777622,-73.068167,0.0,249.2,43.3,-36.776782,-73.06526,0.0,257,306.6,,1,1
1,15,-36.777797,-73.067861,0.0,149.7,221.2,-36.778735,-73.06673,0.0,287.5,172.9,,1,1
1,17,-36.780287,-73.066994,0.0,4.9,339.3,-36.775504,-73.063992,0.0,277.2,300.6,,1,1
10,15,-36.779464,-73.066795,0.0,194.7,283.3,-36.779287,-73.068291,0.0,241.6,196.2,,1,1
2,16,-36.778518,-73.067738,0.0,223,145.4,-36.777492,-73.064785,0.0,264.8,257.8,,1,1
8,20,-36.775208,-73.065522,0.0,223,23.1,-36.775858,-73.067832,0.0,260.7,151.7,,1,1
8,16,-36.778116,-73.06752,0.0,248.2,7.4,-36.775953,-73.066444,0.0,174.3,98.4,,1,1
1,12,-36.779117,-73.067622,0.0,296.5,272.7,-36.778293,-73.067507,0.0,95.1,262.5,,1,1
10,16,-36.778532,-73.068515,0.0,253.8,89.3,-36.779941,-73.065032,0.0,108.6,71.7,,1,1
8,18,-36.776762,-73.068156,0.0,129.4,85.9,-36.777197,-73.064396,0.0,160.5,44.9,,1,1
3,16,-36.778866,-73.068409,0.0,114,45.5,-36.776596,-73.068354,0.0,264.5,30.7,,1,1
4,13,-36.779259,-73.065461,0.0,110.2,241.4,-36.776222,-73.066795,0.0,115,257.7,,1,1
1,21,-36.778991,-73.067075,0.0,63.6,188.8,-36.776311,-73.066969,0.0,136.9,307.1,,1,1
5,18,-36.779273,-73.06552,0.0,225.9,16.9,-36.776821,-73.064357,0.0,200.2,61.7,,1,1
10,20,-36.777914,-73.066133,0.0,195.6,335.1,-36.776063,-73.066224,0.0,217.8,334.9,,1,1
10,12,-36.778439,-73.068316,0.0,117.2,148.4,-36.775308,-73.066661,0.0,81.6,219.5,,1,1
7,13,-36.775634,-73.064888,0.0,136.5,103.5,-36.775466,-73.065715,0.0,12.1,6.3,,1,1
6,15,-36.776324,-73.067749,0.0,121.9,335.4,-36.77858,-73.066574,0.0,233.2,11.5,,1,1
5,21,-36.777361,-73.066446,0.0,107.6,207.5,-36.775759,-73.065287,0.0,249.1,226.9,,1,1
7,21,-36.776633,-73.063861,0.0,96.9,280.7,-36.775943,-73.064778,0.0,219,162,,1,1
7,11,-36.776718,-73.067057,0.0,1.7,95.1,-36.776177,-73.068182,0.0,218.6,348,,1,1
4,18,-36.779691,-73.064923,0.0,189.4,61.6,-36.777954,-73.065498,0.0,154.8,57.3,,1,1
10,15,-36.775523,-73.067555,0.0,26.8,242.1,-36.779548,-73.064835,0.0,80.4,341.3,,1,1
9,16,-36.775623,-73.06541,0.0,236.8,150.1,-36.775704,-73.067625,0.0,65.4,210.4,,1,1
8,19,-36.77624,-73.064624,0.0,196.8,60.3,-36.777518,-73.064111,0.0,246.2,180.4,,1,1
4,15,-36.775649,-73.06761,0.0,259.8,96.5,-36.778023,-73.06399,0.0,114.8,12,,1,1
2,12,-36.77924,-73.06564,0.0,27.8,137.6,-36.777141,-73.067661,0.0,60,192.9,,1,1
2,13,-36.779305,-73.064623,0.0,219.8,240.7,-36.778282,-73.065887,0.0,12.9,285.5,,1,1
9,11,-36.778294,-73.066344,0.0,259.7,231,-36.777757,-73.06755,0.0,30,130.9,,1,1
6,20,-36.778791,-73.066352,0.0,195.1,14.3,-36.776193,-73.068103,0.0,35.2,219.7,,1,1
8,15,-36.77964,-73.067889,0.0,88.1,72.3,-36.779653,-73.064751,0.0,188.2,5.8,,1,1
3,18,-36.777834,-73.066385,0.0,295.9,192.5,-36.776118,-73.068294,0.0,228,176.1,,1,1
10,21,-36.775867,-73.064884,0.0,248.1,286.2,-36.777929,-73.066283,0.0,157.1,213.8,,1,1
3,19,-36.777111,-73.067426,0.0,147,16.6,-36.775839,-73.067203,0.0,250.4,94.1,,1,1
7,11,-36.775972,-73.064225,0.0,119.8,160.1,-36.775717,-73.067189,0.0,260.2,73.1,,1,1
6,19,-36.775686,-73.065393,0.0,90.3,293.6,-36.775399,-73.06527,0.0,100,306.7,,1,1
1,21,-36.779252,-73.068048,0.0,169.1,81.6,-36.776506,-73.064547,0.0,226.3,193.8,,1,1
6,21,-36.775657,-73.06473,0.0,161.4,8,-36.776196,-73.065639,0.0,212.4,344.4,,1,1
4,20,-36.77646,-73.064772,0.0,146.1,62.4,-36.775423,-73.065887,0.0,196.7,288.9,,1,1
9,15,-36.778891,-73.064799,0.0,209.8,343.9,-36.778546,-73.065098,0.0,59.4,286.5,,1,1
9,13,-36.777586,-73.065468,0.0,122.2,57.9,-36.776821,-73.064739,0.0,56.2,198.9,,1,1
6,16,-36.776821,-73.064561,0.0,32.7,21.1,-36.779096,-73.06542,0.0,241.4,50.5,,1,1
3,20,-36.77694,-73.067892,0.0,92.5,92.7,-36.778532,-73.066079,0.0,60.9,193.6,,1,1
2,21,-36.775146,-73.064471,0.0,173.5,23.6,-36.775771,-73.064326,0.0,160,101.1,,1,1
10,14,-36.7804,-73.068086,0.0,10.3,292,-36.780193,-73.064219,0.0,172,204.9,,1,1
10,19,-36.77821,-73.068303,0.0,72.9,134.7,-36.776607,-73.06707,0.0,147,171.4,,1,1
10,17,-36.777666,-73.067618,0.0,192.6,204.7,-36.777974,-73.068243,0.0,87.2,195.5,,1,1
6,15,-36.776355,-73.067478,0.0,23.2,35.5,-36.776565,-73.06605,0.0,236.9,205.1,,1,1
1,16,-36.775611,-73.066203,0.0,263.7,136.6,-36.775245,-73.063962,0.0,180.7,219.5,,1,1
4,15,-36.7763,-73.064725,0.0,227.4,236.6,-36.779205,-73.06526,0.0,204,142.1,,1,1
5,16,-36.775796,-73.0648,0.0,129.7,291.9,-36.778154,-73.068554,0.0,148.6,12.1,,1,1
5,21,-36.775874,-73.066297,0.0,251.3,57,-36.776515,-73.064492,0.0,220.3,252,,1,1
9,12,-36.775289,-73.063874,0.0,40.7,55.1,-36.778032,-73.06491,0.0,255,3.1,,1,1
10,16,-36.777695,-73.06756,0.0,148.8,43.7,-36.77873,-73.068533,0.0,28.2,61.7,,1,1
10,13,-36.775652,-73.067686,0.0,32.7,127.5,-36.775699,-73.065265,0.0,281.4,259.9,,1,1
1,20,-36.77975,-73.067163,0.0,129.4,182.8,-36.778736,-73.065498,0.0,21.5,221.4,,1,1
5,17,-36.780456,-73.067551,0.0,230.3,3.9,-36.777919,-73.065335,0.0,85.1,209.8,,1,1
6,15,-36.779995,-73.064859,0.0,224.7,220.7,-36.779372,-73.067183,0.0,175.7,28.6,,1,1
5,21,-36.775531,-73.063866,0.0,136.1,190.2,-36.776636,-73.064949,0.0,156.7,64.7,,1,1
2,11,-36.779107,-73.066148,0.0,127.7,325.1,-36.778881,-73.064868,0.0,297.1,39.9,,1,1
3,21,-36.780167,-73.067949,0.0,265.8,99.7,-36.778056,-73.06808,0.0,42.5,85.4,,1,1
1,19,-36.777379,-73.064965,0.0,53.5,121.3,-36.779019,-73.064415,0.0,170.5,5.8,,1,1
6,17,-36.775498,-73.064627,0.0,179.1,84.2,-36.777351,-73.064802,0.0,149.7,132.5,,1,1
1,15,-36.778964,-73.068465,0.0,74.1,184.1,-36.776994,-73.066922,0.0,246.7,358.3,,1,1
4,19,-36.775353,-73.068001,0.0,192.6,95.1,-36.778249,-73.064817,0.0,107,189.6,,1,1
10,18,-36.779296,-73.068011,0.0,268.9,10.3,-36.779397,-73.065652,0.0,159.5,320,,1,1
10,14,-36.780224,-73.067691,0.0,79.1,143.6,-36.775964,-73.068585,0.0,96.8,304.8,,1,1
3,16,-36.775492,-73.06393,0.0,230.2,294.8,-36.775343,-73.068116,0.0,115.9,228.7,,1,1
6,12,-36.779445,-73.066906,0.0,83.7,14.8,-36.777753,-73.06729,0.0,259.2,180.9,,1,1
4,15,-36.779626,-73.066887,0.0,224.6,247.2,-36.779943,-73.068555,0.0,196.9,342.6,,1,1
7,16,-36.779059,-73.068057,0.0,50,275.1,-36.779081,-73.068186,0.0,60.6,274.3,,1,1
10,20,-36.778935,-73.068193,0.0,238.6,219.1,-36.779468,-73.066793,0.0,139.5,134.8,,1,1
5,12,-36.779752,-73.064954,0.0,99,333.1,-36.77636,-73.067647,0.0,20.6,280.4,,1,1
8,12,-36.775599,-73.064412,0.0,81.5,108.8,-36.778336,-73.067016,0.0,170.8,88.4,,1,1
2,18,-36.777244,-73.065393,0.0,161.7,255.9,-36.777372,-73.068373,0.0,131.6,204.7,,1,1
1,16,-36.777106,-73.06491,0.0,142.1,111.7,-36.77914,-73.064464,0.0,91.4,47.4,,1,1
7,20,-36.777827,-73.065601,0.0,6.1,342.9,-36.776622,-73.067902,0.0,139.9,42.1,,1,1
7,19,-36.777896,-73.066982,0.0,68.6,135.9,-36.777961,-73.067248,0.0,108.2,92.2,,1,1
5,11,-36.776218,-73.068019,0.0,44.9,133.7,-36.777031,-73.065806,0.0,192.8,209.4,,1,1
5,15,-36.776509,-73.066851,0.0,272.7,273.8,-36.775601,-73.064325,0.0,299.5,313.1,,1,1
3,21,-36.77914,-73.064599,0.0,247.8,40.7,-36.778372,-73.065853,0.0,272.9,357.5,,1,1
4,14,-36.776515,-73.064824,0.0,33.7,144.9,-36.779721,-73.065333,0.0,23.5,332.7,,1,1
3,17,-36.780269,-73.067304,0.0,237.5,17.6,-36.777386,-73.064937,0.0,51.6,316.1,,1,1
8,20,-36.77566,-73.06708,0.0,72,246.9,-36.779458,-73.067579,0.0,25.6,185.7,,1,1
8,14,-36.776237,-73.068562,0.0,235.4,161.8,-36.778181,-73.068295,0.0,90.4,195.2,,1,1
10,17,-36.777618,-73.068235,0.0,153.1,318,-36.776498,-73.068392,0.0,15.5,62.9,,1,1
1,21,-36.775723,-73.067388,0.0,45.1,21.3,-36.77538,-73.068161,0.0,210.3,279.5,,1,1
7,11,-36.777597,-73.067345,0.0,221.6,11.5,-36.776967,-73.065129,0.0,224.7,126.4,,1,1
3,11,-36.779554,-73.066852,0.0,182.2,75.1,-36.777066,-73.066531,0.0,167.2,3.6,,1,1
7,14,-36.777837,-73.065399,0.0,231.4,343,-36.777349,-73.068163,0.0,170.9,76.9,,1,1
8,13,-36.778521,-73.068415,0.0,52.5,168.5,-36.779013,-73.065168,0.0,191.5,35.9,,1,1
6,16,-36.777593,-73.067091,0.0,143.2,214.1,-36.775629,-73.064553,0.0,156.7,303.6,,1,1
3,17,-36.780159,-73.064459,0.0,251.9,45,-36.775615,-73.066061,0.0,155.2,115.3,,1,1
3,20,-36.778022,-73.065336,0.0,293,27.9,-36.779974,-73.065661,0.0,185.7,334.1,,1,1
10,13,-36.778933,-73.067295,0.0,162.6,300.6,-36.775688,-73.06582,0.0,72.3,252.5,,1,1
4,15,-36.775742,-73.068352,0.0,166.8,99.3,-36.77771,-73.064702,0.0,159.1,140.6,,1,1
7,13,-36.775281,-73.066728,0.0,103.1,198.7,-36.776652,-73.066445,0.0,37.3,239.5,,1,1
10,16,-36.779847,-73.06595,0.0,248.7,318.1,-36.778179,-73.067107,0.0,188.9,314.3,,1,1
6,17,-36.777059,-73.06529,0.0,176.2,359.4,-36.776651,-73.066727,0.0,195.2,98.4,,1,1
6,15,-36.777941,-73.067725,0.0,260.5,249.7,-36.776182,-73.066135,0.0,265.1,172.2,,1,1
10,20,-36.777321,-73.06398,0.0,41.7,220.7,-36.777759,-73.065438,0.0,175.9,32.3,,1,1
8,16,-36.778816,-73.065678,0.0,210.2,236.1,-36.776856,-73.065318,0.0,128.2,175.7,,1,1
2,18,-36.779458,-73.067541,0.0,35.3,52.7,-36.779949,-73.063967,0.0,225.9,107.7,,1,1
10,13,-36.77695,-73.068176,0.0,277.2,287.3,-36.775329,-73.068209,0.0,3.9,104.2,,1,1
10,20,-36.778979,-73.064503,0.0,62.8,273.1,-36.779247,-73.0681,0.0,128.1,314.2,,1,1
3,21,-36.778691,-73.066328,0.0,225.6,235.4,-36.779142,-73.066646,0.0,265.1,137,,1,1
2,12,-36.77619,-73.068328,0.0,253.9,322.2,-36.778416,-73.067572,0.0,217.1,37.5,,1,1
6,12,-36.77846,-73.063865,0.0,86.4,219.9,-36.780379,-73.064459,0.0,120.3,327.8,,1,1
4,17,-36.780024,-73.068115,0.0,68.2,39,-36.776412,-73.065752,0.0,92.6,52.7,,1,1
8,13,-36.778388,-73.068268,0.0,216.4,349,-36.776932,-73.063881,0.0,22.3,268,,1,1
6,21,-36.779871,-73.066303,0.0,241.7,310.7,-36.779894,-73.068227,0.0,104.4,131.7,,1,1
7,21,-36.778563,-73.065027,0.0,237.6,72,-36.778252,-73.067957,0.0,113.9,319.5,,1,1
8,21,-36.779932,-73.066268,0.0,83.3,271.5,-36.777139,-73.063916,0.0,74.3,214.9,,1,1
4,12,-36.778733,-73.064764,0.0,217.3,107,-36.778355,-73.068454,0.0,33.9,85.9,,1,1
4,18,-36.776346,-73.064368,0.0,295.3,105.8,-36.779169,-73.067496,0.0,218,40,,1,1
5,20,-36.778422,-73.064017,0.0,235.1,188.7,-36.779806,-73.067678,0.0,125,12.5,,1,1
2,18,-36.775887,-73.067404,0.0,166.5,270,-36.778231,-73.066898,0.0,117.3,100.4,,1,1
3,20,-36.776844,-73.066872,0.0,44.6,236.7,-36.78033,-73.064478,0.0,62.2,339.5,,1,1
4,19,-36.778034,-73.06613,0.0,182.5,208.9,-36.778261,-73.064652,0.0,231.2,64.7,,1,1
2,13,-36.779048,-73.067142,0.0,102.7,300.7,-36.778556,-73.06608,0.0,172,30.4,,1,1
